trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-144.49069763879814,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-149.0200127824892,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-51.88076401096584,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,1,-111.03888100177147,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-46.10655171233767,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-147.14655749845426,"{0: 10, 1: 3, 2: 2, 3: 4, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-174.95689845057439,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-107.6998042351933,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,3,-39.34611579956329,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-101.63255726247607,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,2,-77.58858914710787,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-155.45302479139573,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-116.18658668144148,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,17.35248529153035,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-3.1339473709694428,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
